titleId,titleName,Url,thumbnailUrl,is_adult,Writer,Painter,Original,synopsis,genre,day,provider
839004,만남어플 중독,https://comic.naver.com/webtoon/list?titleId=839004&tab=mon,https://image-comic.pstatic.net/webtoon/839004/thumbnail/thumbnail_IMAG21_258e9101-6b52-49a2-bcaa-6f90f540624f.jpg,True,루즌아,루즌아,,"20살 비인기 스트리머 초롱. 어플로 만난 정체불명의 남자와의 관계 속에서 주변 사람들의 과거, 살인, 복수가 얽히며 서서히 심연으로 빠져든다.","DRAMA, 고자극드라마, 고자극스릴러, 나쁜남자, 드라마, 미스터리, 범죄, 성인웹툰, 소심녀, 유혹남, 자극적인, 절망적인, 치명적인, 컷툰, 평범녀, 현대","목, 월",NAVER
844058,신체,https://comic.naver.com/webtoon/list?titleId=844058&tab=mon,https://image-comic.pstatic.net/webtoon/844058/thumbnail/thumbnail_IMAG21_18e663e7-b2bc-4c26-8163-ea7fb31b64a9.jpg,True,엄세윤,정썸머,,"사채업자, 재벌, 꿈에 그리던 첫사랑까지... 모두가 내 몸을 원한다. 대체 왜?","THRILL, 드라마, 범죄, 블랙코미디, 성인웹툰, 스릴러, 이능력, 자극적인, 첫사랑, 흑백",월,NAVER
758037,참교육,https://comic.naver.com/webtoon/list?titleId=758037&tab=mon,https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_bbe528c8-7b30-4ea9-b06f-22122ce7d180.jpg,False,채용택,한가람,,"무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!","ACTION, 다크히어로, 먼치킨, 블루스트링, 사이다, 사회고발, 액션, 자극적인, 참교육, 학원물, 학원액션",월,NAVER
822657,환생천마,https://comic.naver.com/webtoon/list?titleId=822657&tab=mon,https://image-comic.pstatic.net/webtoon/822657/thumbnail/thumbnail_IMAG21_99e49512-e05d-48c3-846d-d898f78523df.jpg,False,JP,부겸,장영훈,"철혈의 맹주, 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박, 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 이루지 못한 경지에 오르고자 한다.","HISTORICAL, 고인물, 동양, 동양풍판타지, 먼치킨, 무협/사극, 사이다, 소설원작, 액션, 판무, 환골탈태, 환생",월,NAVER
844984,20주년 명작 극장,https://comic.naver.com/webtoon/list?titleId=844984&tab=mon,https://image-comic.pstatic.net/webtoon/844984/thumbnail/thumbnail_IMAG21_f3aba52c-7ded-49b0-a09e-b1602e4ce948.jpg,False,"범배, 조석","범배, 조석",,"네이버웹툰이 어느덧 20주년을 맞이했다! 그간 어떤 작품들이 네이버웹툰을 빛냈을까? 
그 길을 짚어보기 위해 레전드 개그 작가, 루키 개그 작가가 등장하였는데.... 
<마음의소리> 조석 작가가 전반 10년의 명작 10개, <기자매> 범배 작가가 후반 10년의 명작 10개를 소개해주는 네이버웹툰 20주년 콜라보 특집","COMIC, 개그, 열혈병맛개그","금, 월, 일, 화",NAVER
796075,절대검감,https://comic.naver.com/webtoon/list?titleId=796075&tab=mon,https://image-comic.pstatic.net/webtoon/796075/thumbnail/thumbnail_IMAG21_31f75c4c-81c9-454a-8d92-9e23b577e1a5.jpg,False,김두루미,티아이,한중월야,"단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다.
어느 날, 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전, 혈교에 납치되던 그 날로 돌아가게 되고 검의 목소리를 듣는 신비한 능력을 얻는다.","HISTORICAL, 동양, 먼치킨, 모험, 무협/사극, 복수극, 성장물, 소설원작, 액션, 이능력, 판무, 환골탈태, 회귀",월,NAVER
817859,왕과의 야행,https://comic.naver.com/webtoon/list?titleId=817859&tab=mon,https://image-comic.pstatic.net/webtoon/817859/thumbnail/thumbnail_IMAG21_7479316a-1fca-40d6-9d8e-455f8b2fb0db.jpg,True,보리,보리,,"젊은 왕과 아름다운 여인이 발을 사이에 두고 앉아있다.
가느다란 흰 손가락으로 책장을 넘기는 여인은
고혹적인 목소리로 글을 읽어 내려가는데...

전하. 음양이란 서로 감응해야 응하는 것이옵니다.
몸과 마음이 무르익어 한 배에 탄 채 애락을 느끼니
그 어찌 화락하지 않으오리까?

백일의 겨울밤 동안 왕에게 책을 읽어주는 여인.
아슬아슬한 긴장감 끝에 순식간에 휩쓸린다.
서로에게 깃들고 스며든다.

숨겨뒀던 비밀이 터져 나와 모든 것을 깨울 때까지
왕과 여인은 그저 꿈 안에 있구나.","PURE, 고자극로맨스, 공식미녀, 궁중로맨스, 나쁜남자, 동양, 동양풍로맨스, 로맨스, 사연녀, 성인웹툰, 왕족/귀족, 자극적인",월,NAVER
733074,백수세끼,https://comic.naver.com/webtoon/list?titleId=733074&tab=mon,https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg,False,치즈,치즈,,"백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!","DRAMA, 감성드라마, 공감, 드라마, 리얼로맨스, 오피스, 음식&요리, 재회, 캠퍼스, 평범남, 평범녀",월,NAVER
832703,시한부 천재가 살아남는 법,https://comic.naver.com/webtoon/list?titleId=832703&tab=mon,https://image-comic.pstatic.net/webtoon/832703/thumbnail/thumbnail_IMAG21_1dab240b-fafb-472a-8b42-966f40f8fdc0.jpg,False,JP,윤승기,청시소,"'스물을 넘기지 못하고 단명할 운명'을 타고난 정연신.
집안사람들 모두 연신을 홀대하지만,
직접 무공을 만들 정도로 그의 실력은 대단했다.
그러던 어느 날, 연신은 자신의 수명이 얼마 남지 않았음을 알게 되는데...
시한부 천재 정연신의 살아남기 위한 고군분투가 펼쳐진다!","HISTORICAL, 고인물, 동양, 먼치킨, 모험, 무협/사극, 복수극, 소설원작, 시리어스, 정통무협, 힘숨찐",월,NAVER
821793,마음의소리(였던 것),https://comic.naver.com/webtoon/list?titleId=821793&tab=mon,https://image-comic.pstatic.net/webtoon/821793/thumbnail/thumbnail_IMAG21_c5c798a7-dadf-487b-9bea-485928755332.jpg,False,조석,조석,,"""그리다 만화가 남아서 조금 더 넣었습니다""
마음의소리가 될 뻔한(?) 더 짧고, 더 날것의 에피소드들 대방출 (어?  이게 되네..?)","COMIC, 4차원, 가벼운, 개그, 공감, 병맛, 열혈병맛개그, 요즘핫한추천작, 지금추천작","금, 목, 수, 월, 화",NAVER
774866,똑 닮은 딸,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon,https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_b03cd4bd-bc74-4469-a501-20896bcc887f.jpg,False,이담,이담,,"'우리 엄마가 살인마인 것 같다.' 
성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.
그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.
자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러!
2020 지상최대공모전 2기 우수상 수상작.","THRILL, 2020 지상최대공모전, 고자극드라마, 명작, 미스터리, 범죄, 복수극, 서스펜스, 스릴러, 시리어스, 자극적인",월,NAVER
837659,이직로그,https://comic.naver.com/webtoon/list?titleId=837659&tab=mon,https://image-comic.pstatic.net/webtoon/837659/thumbnail/thumbnail_IMAG21_6f1f4ac2-fe69-494a-b175-fc5447f5a54f.jpg,False,우시목,이하안,,"스타트업 회사에 재직 중인 '조이'와 '맥스'.

조이는 눈에 띄는 외모와 뛰어난 사교성, 완벽한 실력의 소유자인 반면
맥스는 존재감 제로에 대인기피증, 혼밥 마스터이다. 

그런 두 사람이 한 팀, 바로 옆자리에서 공존하게 되었고
같은 팀이 된 첫날, 맥스는 조이의 모니터에서 보면 안 될 것을 보고 말았다!

그 순간부터 그의 평온한 회사 생활은 뒤틀리기 시작하는데…!","PURE, 능력녀, 러브코미디, 로맨스, 로맨스코미디, 오피스, 오피스로맨스, 요즘핫한추천작",월,NAVER
