웹툰ID,제목,url,thumbnailurl,카피문구,성인여부,요일,시놉시스,키워드리스트,글작가,그림작가,원작가
198,오무라이스 잼잼,https://webtoon.kakao.com/content/오무라이스-잼잼/198,https://kr-a.kakaopagecdn.com/P/C/198/c1/2x/dceabccf-5afc-447a-b4b3-e7b1fb313090.png,"다이어트 할 때 가장 위험한 만화
추억과 음식과 이야기들",False,화,"'음식'과 '가족'의 이야기를 담은 에세이 만화.

몇 개라도 먹을 수 있을 것 같은 '메추리알 조림',
빙글빙글 돌아가는 '회전초밥',
지구 반 바퀴 돌아 포르투갈에서 맛본 '에그타르트',
매콤상콤하게 볶아 입맛 도는 '마라샹궈',
짭짤한 밥도둑 '간장게장' 등

우리가 사랑하는 모든 음식들에 얽힌
흥미진진한 비화와 따스한 이야기가 펼쳐진다.

엄마, 아빠, 딸, 그리고 아들로 구성된
작가의 가족이 전하는 음식의 알찬 정보!

몸과 정신의 영양까지 챙기는 건강한 작품, 지금 시작됩니다!","공감되는, 식욕을 자극하는, 코믹/일상, 지식정보, COMIC_EVERYDAY_LIFE",조경규,조경규,
760,딩스뚱스,https://webtoon.kakao.com/content/딩스뚱스/760,https://kr-a.kakaopagecdn.com/P/C/760/c1/2x/296b562f-c626-4429-ba44-f18db3fc0af6.png,"토종 한국인 딩스와 뚱스,
타지에서 맨땅에 헤딩하기!",False,화,"토종 한국인 딩스와 뚱스, 타지에서 맨땅에 헤딩하기!","귀여운, 따뜻한, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",딩스,딩스,
792,블랙 베히모스,https://webtoon.kakao.com/content/블랙-베히모스/792,https://kr-a.kakaopagecdn.com/P/C/792/c1/2x/489481d8-9bc8-41d7-ba8d-d1c79fe3c9c3.png,"탈리스만이 되기 위한 시험에 
도전하는 주인공의 힘겨운 전투!",False,수,"태초에 세 명의 신이 있었다.
땅의 베히모스, 바다의 레비야탄, 하늘의 즈가.

그러나 베히모스와 레비야탄은 서로를 증오하였고 
사투 끝에 둘다 죽게 된다.

이를 지켜본 즈가가 눈물을 흘렸고, 그 눈물이 탈리스라는
신비한 힘을 가진 광석이 공존하는 세상을 탄생시킨다.

이 탈리스를 두고 분쟁이 끊이지 않는 두 나라 이리스타와 폴만.
이리스타는 자원의 발굴과 관리를 위해 탈리스만 시험을 개최한다.

시험에 참가한 주인공들은 자신들의 과거와 마주하게 되고,
고통의 기억은 자꾸만 링클레터와 윙첼의 발목을 붙잡아
그들이 미래로 나아가지 못하도록 하는데...

과학적 원리가 곁들어진 판타지 세계관 속에서
주인공의 내적인 성장을 그리는 철학적이며 서사적인 이야기","몰입되는, 압도되는, 학원/판타지, 성장물, SCHOOL_ACTION_FANTASY",케이지콘,케이지콘,
823,레드스톰 - 왕의 귀환,https://webtoon.kakao.com/content/레드스톰---왕의-귀환/823,https://kr-a.kakaopagecdn.com/P/C/823/c1/2x/fc2516b4-cc8a-435a-a816-5420bfbd4c16.png,"4년 만에 돌아온 그로우, 왕의 귀환
사막을 넘어 다시 시작되는 전쟁",False,토,"피에 젖은 사막.
붉은 사막을 용납할 수 없던 한 소년.

소년은 사막의 무신이 되어 사막을 구하지만
이제는 세계가 피에 젖으려 한다.
무신은 이제 사막을 넘어 세계를 구하려 한다.

“4년 만에 돌아온 그로우, 왕의 귀환.
이제는 사막에서 전쟁을 보여줘야 할 때다.”","역동적인, 몰입되는, 액션/무협, 성공성장물, ACTION_WUXIA",노경찬,암현,
1078,유부녀의 탄생,https://webtoon.kakao.com/content/유부녀의-탄생/1078,https://kr-a.kakaopagecdn.com/P/C/1078/c1/2x/0dde6467-e190-4e15-aa24-7f23baf98b65.png,"누구도 알려주지 않은 결혼식 이후
삶에 대한 리얼리티 카툰!",False,월,"누구도 알려주지 않은 
결혼식 이후 삶에 대한 리얼리티 카툰!","공감되는, 귀여운, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",김환타,김환타,
1121,홍도,https://webtoon.kakao.com/content/홍도/1121,https://kr-a.kakaopagecdn.com/P/C/1121/c1/2x/c1fab88a-a549-4bfb-be85-37fa43389cef.png,"인간과 이매망량이 공존하는 세상 속
까마귀를 쫓는 홍도의 이야기.",False,수,"인간과 주술사, 귀와 신, 이매와 망량.
인간과 인간이 아닌 존재들이 공존하는 세상.

하지만 강대했던 주술사가 쇠락하고
인간이 아닌 존재들이 설 곳을 잃어가는 시대.

교국 상장군 이홍도는 모종의 이유로
까마귀의 행방을 쫓고 있는데...","역동적인, 압도되는, 액션/무협, 로드무비, ACTION_WUXIA",s_owl,s_owl,
1295,퀴퀴한 일기,https://webtoon.kakao.com/content/퀴퀴한-일기/1295,https://kr-a.kakaopagecdn.com/P/C/1295/c1/2x/445df491-2cb0-4609-9e36-64b7b8262c27.png,"즈질스럽고 퀴퀴한 언니의 
쿰쿰한 일상다반사",False,"금, 일","내 주변에 반드시 한 명은 있을 것만 같은, 
어쩌면 나 같기도 한 그녀의 일기.

어느덧 40대의 아기 엄마가 된 주인공 이보람과
그의 군단들의 이야기이다. 

너무나 시시하고 쩨쩨해서 누구에게 털어놓기도 멋쩍은 일들이 
작은 마음을 가진 그들에겐 늘 뜨겁고 강렬하다!

마음속 깊이 숨어있는 자질구레한 감정들과 
스스로 인정하고 싶지 않은 치사스러운 마음들을 
뻔뻔스럽게 받아들일 수 있는 곳.

소소한 행복과 내밀한 이야기들을 가감 없이 나눌 수 있는 곳.

바쁜 하루 동안 미쳐 돌아보지 못한 내 마음 깊은 곳에 숨어있는 
작은 먼지들을 툭툭 털어내어 볼 수 있는 우리의 일기장.
퀴퀴한 일기.","공감되는, 웃기는, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",2B,2B,
1299,쌍갑포차,https://webtoon.kakao.com/content/쌍갑포차/1299,https://kr-a.kakaopagecdn.com/P/C/1299/c1/2x/a4edda04-4934-4b0d-a33f-92e02d331ff4.png,"늦은 밤, 낯선 곳에 나타난 포장마차
그 곳에서 일어나는 이야기들",False,수,"예상치 못한 시간, 예상치 못한 장소에 나타나는 쌍갑포차!
쌍갑포차를 운영하는 월주는 과연 누구일까?

쌍갑포차에 찾아오는 다양한 손님들의
감동적인 이야기!

한국 전통 신화 이승과 저승을,
꿈의 세계 그승과 함께 재창조한 세계관으로, 
덤덤하게 써 내려진 깊이 있는 사람들의 사연 속

조선 시대부터 현대까지 폭넓은 시대 배경을 가지는 
각각의 에피소드가 거미줄처럼 서로 인연이 얽혀있는 
주인공들의 각각의 인생 이야기를 통해

잔잔하게 위로를 받을 수 있는 힐링 웹툰 쌍갑포차에
여러분도 들려보시겠습니까?","공감되는, 감동적인, 판타지 드라마, 옴니버스물, FANTASY_DRAMA",배혜수,배혜수,
1304,소녀신선,https://webtoon.kakao.com/content/소녀신선/1304,https://kr-a.kakaopagecdn.com/P/C/1304/c1/2x/7cbba395-eab2-4b0a-8f39-f4f8fbda1144.png,"재수생 하버들, 신선이 되어 
성질 드러운 이무기 꽝철이와 만나다",False,금,"재수생 하버들, 신선이 되어 성질 드러운 이무기 '꽝철이'와 만나다","환상적인, 설레는, 판타지 드라마, 옴니버스물, FANTASY_DRAMA",효미,효미,
1347,반지하셋방,https://webtoon.kakao.com/content/반지하셋방/1347,https://kr-a.kakaopagecdn.com/P/C/1347/c1/2x/919a077d-0aea-49ad-8b24-f082a75890d0.png,"반지하에 살고 있는 자매의
좌충우돌 일상툰",False,토,"밝지만 엉뚱한 첫째와 무뚝뚝한 둘째, 인간 비타민 셋째까지. 

청각장애인 어머니와 막노동꾼 아버지 밑에서 가난하게 
자라났지만 밝고 유쾌하게 살아가는 세 자매.

그 세 자매 중 첫째와 둘째가 독립을 결심했다!
하지만 독립자금이 모자란 두 사람은 반지하에 자리를 잡는다.

천장에서 물이 새는 것은 물론 벌레들이 들끓는 반지하에서 
행복을 찾으려 노력하나 세상은 그리 녹록지 않다.
악덕 기업과 싸우고 갑작스러운 해고에 공장을 전전하기까지..!

설상가상으로 부모님이 암에 걸려 병원에 입원하면서 
세 자매는 직장 생활과 병간호를 병행하게 되는데... 

고된 일상에도 불구하고 힘내서 세상을 살아갈 수 있는 건 
웹툰 작가라는 꿈과 언제나 함께하는 가족, 

과연 자매는 꿈을 이루고 반지하를 탈출할 수 있을까? ","공감되는, 웃기는, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",평범한 자매,평범한 자매,
1369,지옥사원,https://webtoon.kakao.com/content/지옥사원/1369,https://kr-a.kakaopagecdn.com/P/C/1369/c1/2x/e378e969-31e0-4048-883f-83010f337518.png,"인간이 된 악마의 사회 적응기!
그리고 그를 위협하는 존재들.",False,화,"인간의 음식에 매료된 악마 쿼터,
사고로 흙수저 인간에게 빙의하다?!

능력을 모두 잃고 인간 <고순무>의 몸에 갇힌 악마는, 
‘낮은 등급’ 인간의 삶이 지옥에서의 삶보다 질이 떨어지자 
‘높은 등급’ 인간이 되기로 결심한다. 

한 편, 국내 최고의 대기업 <선호 그룹>에선 
학력과 경력을 보지 않는 특별 신입 사원 채용이 열리고, 
악마는 식품 사업의 말단 직원으로 입사하는데…

회사원이 된 악마는 무엇을 얻어가고, 
주변 인간들에게 어떤 영향을 끼치게 될까?

“인간처럼 생각해서 정답이 안 나올 땐, 
악마처럼 행동해. 회사는 그걸 더 좋아할 거야!”

세상의 부조리함을 위트 있고 날카롭게 파고드는 
판타지 드라마!","몰입되는, 기발한, 판타지 드라마, 오피스물, FANTASY_DRAMA",네온비,캐러멜,
1392,아도니스,https://webtoon.kakao.com/content/아도니스/1392,https://kr-a.kakaopagecdn.com/P/C/1392/c1/2x/2774586c-dcc1-41ac-8d1b-ca9e888a0bd9.png,"전생에서 파국을 맞이하게 된 두 사람
새로운 생에서도 또다시 만나게 되는데",False,월,"자신과 누구보다 닮았던 자,
그래서 서로에게만 집중했고 광적으로 집착했다.
 다만 한쪽은 상대의 온기를,
한쪽은 완전히 꺾기를 원한 아르하드와 이아나.

주인공 이아나는 적국의 황제가 된 아르하드와의 싸움에서
삶을 미련 없이 끝내지만,

영문도 모른 채, 다시 되살아나
자신이 살아왔던 삶을 반복하게 된다.
전생에서 파국을 맞이하게 된 두 사람은,
새로운 생에서도 또다시 만나게 되고,
비극을 반복하게 되는 것일까….","개성있는, 압도되는, 로맨스 판타지, 회귀물, ROMANCE_FANTASY",와파,결정,혜돌이
1575,슬프게도 이게 내 인생,https://webtoon.kakao.com/content/슬프게도-이게-내-인생/1575,https://kr-a.kakaopagecdn.com/P/C/1575/c1/2x/0e76f1fd-69fa-4002-81ce-28b243918b1a.png,"어? 사회생활이 원래 이런가?
사회초년생 슬이의 다이나믹 인생!",False,일,"""벌어먹고 살아야 하는 현생은 너무 힘들어!""

거친 현대사회에서 이리저리 치이며
어떻게든 적응해보려는 어리바리 슬이와

쉽지 않은 직장 생활에 약간 돌아버린 친구들의
슬프지만 즐겁게 살려고 노력하는 이야기","웃기는, 공감되는, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",슬,슬,
1716,조류공포증,https://webtoon.kakao.com/content/조류공포증/1716,https://kr-a.kakaopagecdn.com/P/C/1716/c1/2x/198258f9-cfa7-4e87-8ce4-0aae704d29b4.png,"조류공포증이 있는 철민이 돌연변이
새들로부터 가족을 지키는 이야기",False,월,"어린 시절 시골에서 닭을 잡는 모습을 본 후로
'조류공포증'을 겪고 있는 철민.

그의 눈에 회사 부장이 자꾸만 새로 보이기 시작한다. 
착각일 거라고 생각하지만 증상은 나아지지 않고,

이를 눈치챈 회사 동료인 오컬트 마니아 광빈은 
부장의 정체가 사람의 탈을 쓰고 사람을 잡아먹는 
전설 속 새 괴물 '하르퓌아'가 아닐까 추측한다. 

철민은 믿지 않지만 회사 동료 한 명이 의문의 실종이 된 후 
광빈과 함께 부장의 정체를 파헤치는데...

정체가 탄로 난 부장은 이들을 잡아먹으려고 하고 
철민과 광빈은 간신히 도망치지만, 
곳곳에 숨어있는 하르퓌아들의 위협을 받는다.

도망만 다니던 철민은 가족까지 타깃이 되자
가족을 지키기 위해 조류공포증을 극복하고 맞서려고 한다..!","미스테리한, 긴장감 있는, 공포/스릴러, 재난물, HORROR_THRILLER","조눈, 리도","조눈, 리도",
1768,타원을 그리는 법,https://webtoon.kakao.com/content/타원을-그리는-법/1768,https://kr-a.kakaopagecdn.com/P/C/1768/c1/2x/c3527889-173b-4ff7-bc9c-e611ca44c79a.png,"민성의 비밀은 두 사람을
예기치 못 한 사건에 휘말리게 한다.",False,월,"오합지졸들과 함께
회사의 비밀 프로젝트를 밝혀내고
연인을 과거에서 구출하라!

제약회사에 이직하게 된 광고쟁이 유주하는 
자신의 이직에 연인의 과거가 얽힌 계략이
숨겨져있음을 알게 된다. 

참하고 조신한 줄로만 알았던 애인 민성이
사실은 천재해커였단 사실과 
이를 노리고 접근하는 서로 다른 사람들로 인해
유주하의 일상은 혼돈해진다. 

분명한 것은 이 모든 게
회사의 비밀 프로젝트와 관련 있다는 사실
연인의 과거를 쥔 회사의 높으신 분들에 맞서 유주하는
자신을 돕겠다는 정체불명의 콤비와 손을 잡고 마는데...","기발한, 궁금하게 하는, 로맨스, GL, ROMANCE",섬멍,섬멍,
1861,재벌과의 인터뷰,https://webtoon.kakao.com/content/재벌과의-인터뷰/1861,https://kr-a.kakaopagecdn.com/P/C/1861/c1/2x/aec9a608-6391-493b-b3ec-b20cf54cf9c7.png,"재벌 납치 감금물 작가가
재벌남의 은인이 되었다?!",False,목,"재벌 납치 감금물 웹소설 작가, 재벌남의 은인이 되다?! 
동시에 재벌녀의 최애 작가가 되다!?

폭풍우가 치던 어느 날, 
재벌 3세 양서준과의 극적인 만남을 시작으로
알바를 병행하는 웹소설 작가 지은의 인생에 
재벌들이 꼬이기 시작한다. 

재벌 로맨스 작가라는 자신의 정체를 
진짜 재벌에게 들키고 싶지 않다는 일념으로 
비밀을 사수하는 지은.

그런 지은을 두고 양서준, 양서정 두 재벌 남매의
상상 초월 클리셰 박살 기행 대잔치가 벌어진다…!","설레는, 웃기는, 로맨스, 로맨틱코미디물, ROMANCE",우다,우다,
1882,미완결,https://webtoon.kakao.com/content/미완결/1882,https://kr-a.kakaopagecdn.com/P/C/1882/c1/2x/bd3bd414-c69d-41ea-9823-81b3e523892d.png,"오랜 팬으로 동경하던 천재 소설가
선생님이 내 애인을 강렬히 원한다",True,금,"""오랜 팬으로 동경해온 천재 소설 작가님이 
내 애인을 강렬히 원한다!""

에디터 <원유진>, 뮤지컬 배우 <은미결>, 소설가 <선은호>.
자신의 일과 예술을 사랑하는 세 사람은 
각자 결핍된 부분이 있었다.

이들은 눈앞의 상대에게서 
서로가 갖지 못한 부분을 찾아내고 욕망한다. 

자신의 분야에서 인정받고 싶은 욕구, 
그리고 동경하는 상대에 대한 성적 긴장감과 소유욕은 
제각기 다른 형태로 꿈틀거리기 시작하는데…. 

괴물이 될 것인가, 예술가가 될 것인가?
아니면 어떠한 마침표도 찍지 못할 것인가?
 
세 사람의 관계와 커리어가 
치밀하게 얽히며 터져 나오는 예술적 광기와 서스펜스!","궁금하게 하는, 긴장감 있는, 드라마, 치정물, DRAMA",네온비,안나래,
1929,나 홀로 버그로 꿀빠는 플레이어,https://webtoon.kakao.com/content/나-홀로-버그로-꿀빠는-플레이어/1929,https://kr-a.kakaopagecdn.com/P/C/1929/c1/2x/e709d293-757b-4e4e-9656-acc6d99cf71b.png,"성공을 위해서라면 버그도 OK! 
초고도비만 영주의 현생 도전기.",False,일,"과도한 업무와 밤샘 게임으로 돌연사?!
눈을 뜬 나를 반긴 것은 게임 <파라디소>의 세계관 속이었다.

그것도 초고도 비만의 몸뚱이와 몰락하기 일보직전의 
완벽한 듣보잡 엑스트라 영주, 자레드의 몸으로 환생했다!

망할! 소설이나 영화 속 주인공들은 존잘남으로 태어나서 
호의호식하며 잘 살던데!

그러나, ""반드시 정점을 차지하겠어!""

성공하고 성장 할 수 있다면
버그든 꼼수든 무엇이든 OK!

자레드의 혹독한 다이어트와 버그로 꿀 빠는 치열한
현생도전기가 시작된다!

*원작소설 <나 홀로 버그로 꿀빠는 플레이어>","통쾌한, 역동적인, 학원/판타지, 레벨업물, SCHOOL_ACTION_FANTASY",청초,재한,청초
1963,유부녀 킬러,https://webtoon.kakao.com/content/유부녀-킬러/1963,https://kr-a.kakaopagecdn.com/P/C/1963/c1/2x/7e604844-5ad0-4b85-b8d2-f3e2599bc694.png,"육아휴직을 마치고 복귀한 유부녀, 
유보나의 비밀스러운 이중생활",False,수,"육아휴직을 마치고 회사로 돌아간 5년차 유부녀 유보나.

보나는 저격총을 쥔 채 호텔에 있는 타깃을 향해 총구를 겨눈다.
""탕!"" 복귀 후 첫 미팅은 암살업무, 보나는 유부녀 ‘킬러’이다.

보나는 자신의 딸 율이와 시어머니가 운영하는 치킨집을 찾았는데,
테이블 뒤편에서 고아인 보나를 험담하는 시어머니의 소리가 들린다.

어느 날, 시어머니 옥선자와 보나의 첫째 시누이 순일은
월세를 올리지 않는 고마운 건물주에게 선물을 보내기로 한다.

밤이 되고 세입자가 선물을 보냈다는 문자 한 통을 받은 보나!
웃으며 월세를 동결하겠다고 말한 후 일상을 이어간다. 

한편 현장에 도착한 형사들은 희대의 암살자 ‘킹피셔’가 
돌아왔다는 것을 눈치 챈다.

보나의 남편인 태성에게 상사인 낫투데이 신문사의 우국장은
킹피셔에 관해 알아오는 지시를 던지는데...","몰입되는, 기발한, 드라마, 반전물, DRAMA",YOON,검둥,
1985,불패검선,https://webtoon.kakao.com/content/불패검선/1985,https://kr-a.kakaopagecdn.com/P/C/1985/c1/2x/ee9f9a37-4982-43b8-a709-2cc3c446c3cf.png,"무한한 무공이 숨겨져 있는 산수화를
얻은 송우문의 무협 일대기",False,월,"시골 객점의 아들 송우문.
어릴 적부터 몸이 약했던 그는
어느 날 노도사가 그려 주고 간
산수화를 보고 바보가 된다.
 
그렇게 동네에선 바보라 놀림받고
부모에겐 한심한 아들로 자라지만
 
스무 살이 되던 날!
각성과 함께 산수화 속 절대무공을 꽃피운다!","몰입되는, 통쾌한, 액션/무협, 성공성장물, ACTION_WUXIA",FIST CAT,김찬영,적하
2020,시간이 머문 집,https://webtoon.kakao.com/content/시간이-머문-집/2020,https://kr-a.kakaopagecdn.com/P/C/2020/c1/2x/ab703c35-7085-4f0e-8777-feca55f8b154.png,"학대 당한 소녀. 스스로를 고립시킨
성격 더러운 아저씨와 만나다.",False,목,"학대받아온 소녀와 아무것도 없는 세상에서 살아온 
성격 더러운 아저씨가 만나다.

모든 법칙과 개념이 재창조된 새하얀 세상

한 때 세상을 구한 전설적인 용사 '아델'의 세상 속에
부모에게 버림받고 지옥같은 삶을 살아온
노예 소녀 '리베'가 찾아온다.

투닥거리기만 하는 둘.
이 둘 앞에 나타난 수수께끼의 인물 '다루다루'.

무채색으로 가득한 아델의 삶 속에, 
서툴지만 강렬한 리베의 색이 스며들기 시작한다.

이 셋이 만남은 과연 우연일까? 
아니면 누군가의 의도일까?","역동적인, 기발한, 판타지 드라마, 성장물, FANTASY_DRAMA",헤고,헤고,
2042,백의사자,https://webtoon.kakao.com/content/백의사자/2042,https://kr-a.kakaopagecdn.com/P/C/2042/c1/2x/72903f46-e3af-4af3-b506-39a081ca87b5.png,"세상에서 잊혀진 소년에게 
내밀어진 손에서 모든 것이 시작됐다",False,목,"옛날 어느 마을에 연이어 사람이 죽어나가는 괴변이 발생한다?!

사람들이 원흉으로 지목한 것은 마을 근처에 살던 백발의 소년.
소년은 이유도 모른 채 죽음을 맞이하고, 이승을 홀로 헤매이게 된다.

그때 손을 내밀어 준 것은 저승사자의 우두머리인 '적의사자'.
그는 소년에게 '설기'라는 이름과 새 삶을 살아갈 기회를 준다.

죽은 후에야 비로소 자신이 있을 곳과 희망을 얻은 설기에게
저승은 그야말로 꿈만 같은 장소.

이후 저승사자가 된 설기는 누군가를 돕기 위해,
그리고 자신을 받아준 저승을 위해 열심히 일하기로 다짐한다.

그러나 예상치 못한 사건과 존재들을 마주하며 
저승의 내력과 자신을 둘러싼 어떤 흐름에 얽혀드는데…

저승을 무대로 사람과 귀신, 신령이 등장하는 한국판타지극!","역동적인, 따뜻한, 판타지 드라마, 성장물, FANTASY_DRAMA",체사,체사,
2043,무지개다리 파수꾼,https://webtoon.kakao.com/content/무지개다리-파수꾼/2043,https://kr-a.kakaopagecdn.com/P/C/2043/c1/2x/6853cbd7-0d61-4394-9272-bf2b77e74e98.png,"돈과 명예만을 좇던 유명 수의사,
동물의 소리를 듣게 되다!",False,월,"돈과 성공만을 전부로 알던 유명 수의사 이한철.

그는 어느 날 사고 이후,
동물들의 목소리를 들을 수 있게 된다.

그렇게 동물 병원을 찾은 여러 동물들의 이야기를 듣던 어느 날,
길에서 만난 강아지 밍구의 살려달라는 목소리를 듣게 되는데..

동물의 목소리를 듣는 수의사 이한철,
동물을 사랑하는 수의 테크니션 김나영,
한철의 뒷조사를 하는 동물 뉴스 플랫폼의 기자 이동욱.

그리고 꼬리 달린 웰시코기 밍구와 수많은 동물들의 이야기..!","감동적인, 통쾌한, 판타지 드라마, 에피소드물, FANTASY_DRAMA",이서,이서,
2074,수린당 성군전,https://webtoon.kakao.com/content/수린당-성군전/2074,https://kr-a.kakaopagecdn.com/P/C/2074/c1/2x/e8465a73-0c80-474b-b46c-efb8d4a966ef.png,"과도한 기대는 금물!
우리 아이 성군 만들기 프로젝트!",False,수,"[수린당 성군전]
선계와 인간계를 이을 단 한 명의 성군, ‘한울’.
지덕체를 두루 갖춘 완벽한 아이의 탄생에 선계의 신들은 신이 났다.
그것도 아주 지나치게!

과도한 기대는 때론 독이 될 수도 있는 법.
한울이를 금쪽이가 되지 않게 밝고 바른 아이로 키울 수 있을까?
성군의 운명을 타고난 이 아이는 과연 진정한 성군이 될 수 있을까?
본격 우리 아이 성군 만들기 프로젝트!

* * *

[수린당 -비늘 고치는 집-]
이런게 축복이라고?
운명을 바꾸기 위한 자매의 여정!

수린당의 역사는 먼 옛날 봉황의 비늘을
찾아준 자매에게서 시작된다.
봉황은 자매에게 각각 마르지 않는 재능과
성군을 낳을 운명을 축복으로 내렸고 
그 축복은 대대로 이어져 현재 수린당 자매에게 이른다.

천재적인 바느질 실력을 갖췄지만 영수들이 무서운 장녀 은침과
비혼주의자이지만 성군의 탄생을 위해 결혼을 종용받는 동생 홍실
이들은 자신들의 운명이 저주스럽다.

그런 자매 앞에 비늘을 다친 도망자 봉이 나타나게 되고
비늘을 고쳐주는 대가로
동생의 축복을 풀어준다는 약속을 받아낸 은침은 
그와 함께 신비롭고 로맨틱한 여정을 떠나게 되는데...

과연 자매는 모든 유혹과 역경을 물리치고
축복 풀기에 성공할 수 있을까?!","따뜻한, 환상적인, 판타지 드라마, 힐링물, FANTASY_DRAMA",일링스,일링스,
2080,허약선생,https://webtoon.kakao.com/content/허약선생/2080,https://kr-a.kakaopagecdn.com/P/C/2080/c1/2x/f63152f4-5d0a-4fca-afd3-60b5ca17c51f.png,"무림 최고의 암살자 '귀면독'
그의 특별한 제자 육성이 시작된다.",False,토,"[ 흑화대는 해체할 것이니 선생이 되어라. ]

마교와의 종전 후,
무림맹의 암부 조직 '흑화대'와
그들을 이끄는 흑화대 총대장 '귀면독'.

귀면독은 이제 백무관의 선생이 되어
아이들을 가르치게 된다.

남궁세가의 수치라 불리는 다섯째 남궁매.
아버지의 명으로 백무관 뱀단에
입학하여 귀면독의 제자가 된다.

그리고 끝난 줄 알았던 마교전쟁은
갑자기 나타난 특별한 영약으로 인해
불이 붙고 무림은 다시 혼란에 빠지는데...

과연 귀면독과 제자들은 평화를 지켜내고
남궁매는 세가의 수치라는 오명을 씻어
진정한 고수로 거듭날 수 있을 것인가?","웃기는, 역동적인, 액션/무협, 성장물, ACTION_WUXIA",철범,울펜,
2118,방구석 여포,https://webtoon.kakao.com/content/방구석-여포/2118,https://kr-a.kakaopagecdn.com/P/C/2118/c1/2x/dae54a34-3f6b-4c34-a569-52d3f827b10a.png,"방구석에서만큼은 천하무쌍! 
찐따고딩의 숨겨진 능력이 깨어난다.",False,수,"방구석에서만큼은 천하무쌍!
찐따고딩 여포의 숨겨진 능력이 깨어난다!

인터넷에서 '적토마18'로 활동 중인 고등학생 여포. 
악명높은 키보드 워리어인 그는 '슈퍼베어'라는 유저와
키보드 배틀을 벌이다가 다니는 학교를 적는 실수를 하게 된다.

선망의 대상인 학생회장을 사칭하며
여포가 쓴 과거의 게시글들을 보고
적토마18이 학생회장이라 생각한 슈퍼베어가
여포를 응징하기 위해 학교에 찾아오는 사건이 벌어진다.

어찌어찌 위기를 넘겼지만 이로 인해 
자신이 적토마18이라는 사실을 한 일진에게 들켜버리고

약점을 잡힌 여포는 빵셔틀로 전락하게 된 것도 모자라
일진들의 술파티 장소로 자신의 빈집을 강제로 내어주게 되었지만

여포에게는 집 근처에서만 발휘되는
신기한 초능력을 지니고 있었으니....","통쾌한, 역동적인, 학원/판타지, 성공성장물, SCHOOL_ACTION_FANTASY",키미하이,키미하이,
2140,기프트,https://webtoon.kakao.com/content/기프트/2140,https://kr-a.kakaopagecdn.com/P/C/2140/c1/2x/f26e4bbc-6bbe-4623-a319-9d8c64d5073b.png,"선수들의 등급과 능력을 볼 수 있는 
감독과, 선수들의 고교야구 이야기",False,화,"선수들의 등급과 능력을 볼 수 있는 감독과, 선수들의 고교야구 이야기","역동적인, 기발한, 판타지 드라마, 성장물, FANTASY_DRAMA",정이리이리,정이리이리,
2153,천광명월,https://webtoon.kakao.com/content/천광명월/2153,https://kr-a.kakaopagecdn.com/P/C/2153/c1/2x/ebe1dd27-c84a-4e7f-8920-aef09b94bfe1.png,"전쟁노예와 기생의
가족 무협 액션 드라마",False,수,"강자만이 살아남는 무림전국시대.
전쟁노예 천광과 중원제일의 기생 명월의
무림 생존기를 그린 가족 무협 액션 드라마.","역동적인, 몰입되는, 액션/무협, 전쟁물, ACTION_WUXIA",석빈,석빈,
2155,관존 이강진,https://webtoon.kakao.com/content/관존-이강진/2155,https://kr-a.kakaopagecdn.com/P/C/2155/c1/2x/724984df-3818-4652-99fb-9d7390b77371.png,"미친놈인가? 흔한 관심종자인가?
미친놈 대인되는 이야기.",False,목,"미친놈인가?
아니면 흔한 관심종자인가?

사람의 다름을 이해 못 하는 제자 이강진.
그리고 그걸 이해시켜주고자 하는 스승 곽노.
두 사제師弟의 따뜻한 휴먼스토리.","역동적인, 압도되는, 액션/무협, 성장물, ACTION_WUXIA",노경찬,송윤달,
2308,샤크,https://webtoon.kakao.com/content/샤크/2308,https://kr-a.kakaopagecdn.com/P/C/2308/c1/2x/ebd75a4c-ba96-4008-8f80-353518e9203f.png,"살아남고 싶으면 
끊임없이 움직여라.",False,토,"학원폭력의 피해자 차우솔은 자신을 3년 간 괴롭혀온 가해자의 눈을 찌른다. 
그 사건을 계기로 우솔의 인생은 180도 달라지는데…… 
왕따에서 범죄자로, 범죄자에서 챔피언이 된 남자, 차우솔의 이야기!","역동적인, 긴장감 있는, 액션/무협, 성공성장물, ACTION_WUXIA",운(雲),김우섭,
2309,정령왕 엘퀴네스,https://webtoon.kakao.com/content/정령왕-엘퀴네스/2309,https://kr-a.kakaopagecdn.com/P/C/2309/c1/2x/b7ff2212-5edb-42cd-ac19-cd879f79240d.png,"인간으로 잘못 태어났던 물의 정령왕 
엘퀴네스의 좌충우돌 모험기!",False,토,"우연히 교통사고로 사망한 평범하기 짝이 없던 고등학생 강지훈은
명계에서 자신이‘인간으로 잘못 태어난 물의 정령왕’이라는 사실을 알게 된다. 
 
“물의 정령을 만들라니? 어떻게 하는 건데?” 
 
인간으로 잘못 태어났던 물의 정령왕 엘퀴네스의 좌충우돌 모험기!","발랄한, 귀여운, 판타지 드라마, 환생물, FANTASY_DRAMA",냐르,냐르,이환
